id,subject_id,code,name,emoji,level,units,desc,prereqs,antireqs
11,1,508,Building Science and Technology I,,5,3.00,"Functioning of the building enclosure: demonstration of the behaviour of building elements and their sub-assemblies under differential temperature and pressure stresses; fundamentals of acoustics; nature and use of building materials; response of building materials to climatic cycles radiation, precipitation, heating and cooling.",Admission to the Minor in Architectural Studies or the Master of Architecture Programs.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.
12,1,510,"History of Architecture and Human Settlements II – The Rise of Modernity, 1750 to Present",,5,3.00,A survey history of architecture and human settlement exploring the traditions of the Western world from the beginning of the Italian Renaissance until the present. The courses will examine the changes in world view that have altered the course of architecture through the study of selected works of architecture and urbanism.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.,Admission to the Minor in Architectural Studies or the Master of Architecture Programs.
13,1,512,Graphics Workshop II,,5,3.00,"Instruction and supervised experience in drafting, sketching and rendering; drawing and presentation conventions. Builds on Architecture 504. A variety of instruction may be offered to accommodate the varied level of student development.","Architecture 504, 506 and admission to the Minor in Architectural Studies or the Master of Architecture Programs.","Architecture 504, 506 and admission to the Minor in Architectural Studies or the Master of Architecture Programs."
14,1,514,Studio II in Architecture,,5,6.00,"A studio exploring the application of ordering principles of architecture and to the numerous layers that contributes to the quality of inhabitation of place and space through design. Issues explored include the formal, the experiential and the theoretical concerns of architectural design in today's cultural context.","Architecture 504, 506 and admission to the Minor in Architectural Studies or the Master of Architecture Programs.","Architecture 504, 506 and admission to the Minor in Architectural Studies or the Master of Architecture Programs."
15,1,600,Structures for Architects I,,6,3.00,Fundamentals of Structural Analysis including the characteristics and performance of the various components of structures; the terminology and notation necessary for effective teamwork with structural engineering consultants; and basic design calculations for simple structures.,,
16,1,602,Introduction to Design Theories,,6,3.00,"The contemporary cultural, social, and philosophical arenas in which architecture exists are examined through lectures, readings and seminars.",,
17,1,604,Leadership in Architecture,,6,1.50,"The practice of architecture deals with complex design requirements, diverse groups of people, changing processes, evolving contexts, and a range of modes of production. This course introduces students to a broad set of contemporary themes around the concept of leadership and architecture.",,
18,1,606,Intermediate Architectural Design Studio,,6,6.00,An intermediate design studio in which students work on projects defined by the instructor. Topics may vary from year to year. They are determined by the creative interests of the faculty assigned to the course.,Architecture 514 or Environmental Design Architecture 582.,Architecture 514 or Environmental Design Architecture 582.
19,1,608,Architectural Lighting Design,,6,1.50,"Fundamentals of light and visual perception. Approaches to the design of non-uniform and uniform lighting systems for buildings. Issues in system design such as human satisfaction, performance, and energy efficiency. Development of skills in the selection and design of lighting systems.",,
20,1,610,Structures for Architects II,,6,3.00,Advanced structural systems for buildings including: structural connections and composite structures; system characteristics and architectural intent; and case studies in contemporary building structures.,,
21,1,612,Building Science and Technology II,,6,3.00,"Theory and principles of structural, foundation and building service systems. Application of building science principles to building structure and enclosure, examination of the types and manufacture of building elements and the application of building components to specific problems in architecture.",,
22,1,614,Environmental Control Systems,,6,3.00,"Approaches to the design of heating, cooling, and ventilation systems for buildings. Issues in system design such as energy efficiency and indoor air quality.",,
23,1,616,Comprehensive Architectural Design Studio,,6,6.00,A comprehensive design studio in which students work on projects defined by the creative interests of the instructor.,Architecture 606 or Environmental Design Architecture 682.02.,Architecture 606 or Environmental Design Architecture 682.02.
24,1,618,Architectural Professional Practice,,6,3.00,"The nature of the building industry, stakeholders and many of the participants and their responsibilities. Brings together the theoretical framework of the architect's role in society with the practicality of managing a practice. Project management and office administration, trends, liabilities and systems for project control such as building economics; cost analysis and estimating techniques; and cost controls during design and construction.",,
25,1,670,Experiential Learning in Architecture,,6,3.00,Thematic inquiry and design contextualized by experiential learning in architecture.,,
26,1,672,Experiential Learning in Architecture,,6,1.50,Thematic inquiry and design contextualized by experiential learning in architecture.,,
27,1,674,Experiential Learning in Architecture,,6,1.50,Thematic inquiry and design contextualized by experiential learning in architecture.,,
28,1,675,Urban Systems,,6,3.00,"Provides a general overview of urban history, development and planning traditions. Lectures and field studies give a chronological overview of urban, architectural and design history and the inter-relation to political programs, economic and strategic planning as well as cultural nationalism. Extracts a number of more general issues about contemporary cities for debate.",,
29,1,676,Experiential Learning in Architecture,,6,3.00,Thematic inquiry and design contextualized by experiential learning in architecture.,,
30,1,680,Special Topics in Architecture,,6,3.00,Thematic inquiry and design related to special topics in architecture.,,
31,1,682,Special Topics in Architecture,,6,1.50,Thematic inquiry and design related to special topics in architecture.,,
32,1,684,Special Topics in Architecture,,6,1.50,Thematic inquiry and design related to special topics in architecture.,,
33,1,686,Topics Course in Architecture,,6,3.00,Thematic inquiry and design related to special topics in architecture.,,
34,1,688,Special Studio Topics in Architecture,,6,6.00,Thematic inquiry and design related to special studio topics in architecture.,,
35,1,690,Studio Research Selective,,6,3.00,"Provides additional expertise in an area of focus to support the work students complete in research studios. Topics and themes vary but include; Design Responses to Climate Change, Energy Performance, Historical Precedents and Theories, Designing for Social Equity and Inclusion, Life Cycle Analysis, Digital Fabrication, Simulation and Communication Techniques.",,
36,1,692,Gillmor Theory Seminar,,6,3.00,"Explores architectural history and theory as the context for the production of architecture and its artifacts. Students work with a visiting lecturer to develop design responses within a provided theoretical framework. Outputs may include manifestos, speculative projects, drawings, prototypes and exhibits.",,
37,1,694,Studio Research Selective,,6,1.50,"Provides additional expertise in an area of focus to support the work students complete in research studios. Topics and themes vary but include; Design Responses to Climate Change, Energy Performance, Historical Precedents and Theories, Designing for Social Equity and Inclusion, Life Cycle Analysis, Digital Fabrication, Simulation and Communication Techniques.",,
38,1,696,Somerville Design Charrette,,6,3.00,"Explores an architectural problem proposed by a visiting practicing architect. Exposes students to the work of an architectural practice and provides an opportunity for students to collaborate with the visiting lecturer on a speculative architectural project. Outputs include drawings, models and exhibits of the work completed during the course.",,
39,1,698,Taylor Workshop,,6,3.00,"Examines the role of computation and making in architecture. Explores these topics through a guided process of fabrication using contemporary design techniques. Outputs may include prototypes of various scales, drawings, digital workflows, installations and exhibits.",,
40,1,700,Senior Research Studio in Architecture I,,7,6.00,A research design studio in which students collaborate with design faculty in exploring projects that engage contemporary issues defining the built and natural environments.,,
41,1,702,Senior Research Studio in Architecture II,,7,6.00,A research design studio in which students collaborate with design faculty in exploring projects that engage contemporary issues defining the built and natural environments.,,
42,1,790,Directed Study in Architecture,,7,3.00,"Thematic research, readings, or studio projects related to architecture design topics.",Consent of the School.,Consent of the School.
43,1,792,Directed Study in Architecture,,7,1.50,"Thematic research, readings, or studio projects related to architecture design topics.",Consent of the School.,Consent of the School.
44,1,799,Preceptorship in Architecture,,7,3.00,"A preceptorship is a study and training arrangement made between a student and an employer or an equivalent supervisor which has specific educational objectives, a method of evaluation, and is an integral part of a student's Program of Studies. Preceptorships offer a number of benefits: acquiring skills and knowledge which may be better obtained outside the University; developing first-hand experience of professional design practice; preparing for more focused studies in the School; and conducting research.",Consent of the School.,Consent of the School.
45,2,580,"Special Topics in Architecture, Planning and Landscape Architecture",,5,3.00,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
46,2,582,"Special Topics in Architecture, Planning and Landscape Architecture",,5,1.50,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
47,2,584,"Special Topics in Architecture, Planning and Landscape Architecture",,5,1.50,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
48,2,586,"Special Topics in Architecture, Planning and Landscape Architecture",,5,3.00,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
49,2,670,Design Research Methods,,6,3.00,"An introductory overview to the variety of research strategies, methods and project-based inquiries pursued in the professional design disciplines of architecture, planning and landscape architecture. Design research requires creative and critical thinking in the pursuit of inquiries as to how we shape our world, recognizing the intense complexities and emerging challenges to be addressed in the creation of buildings, cities, and landscapes.",,
50,2,672,Design Research Writing,,6,3.00,"Knowledge translation, written communication and dissemination are key skills for design researchers. Addresses effective writing approaches in the development of research proposals, research abstracts, conference presentations, research paper submissions for peer review, and thesis documentation.",,
51,2,674,Design Innovation,,6,3.00,"Examines theories, precedents and strategies at the heart of novel and innovative design research, design responses, and approaches to design practice. Introduces design entrepreneurship and innovation skills crucial to advancing the impact of design research and its far-reaching implications within the built environment.",,
52,2,680,Design Practice Research Project Definition,,6,3.00,"Introduction to practice-based research in the design fields. Explores the differences between first professional degree training, traditional PhD research and design-based creative practice research by learning to contextualize existing professional expertise and experience. Students will progress toward defining their doctoral research question through self-reflexive study, the application of design thinking strategies; attendance at and reflection upon practice research symposium events and peer presentations; and the development of their research statement.",,
53,2,682,Contexts of Design Practice Research,,6,3.00,"Exploration of diverse contexts crucial to crafting a research question and the development of skills associated with the evaluation and use of extant research. The effects on design research of social, political, economic, and cultural contexts, as well as of academic and professional practices, are considered through the assessment of academic and professional literature, precedents and case studies, and symposia presentations. Develops an understanding of how contexts impact the researcher, the research question, the choice of research methods, dissemination of research, and other aspects of practice research.",,
54,2,684,Strategies for Design Practice Research,,6,3.00,"Compares alternative strategies for conducting practice research in the design disciplines. Emphasizes discussions regarding the appropriateness and limitations of different approaches and methodologies through examination of academic literature, practice research case studies, and the research of peers in the symposium. The research process, drawing conclusions, and reporting findings also are examined with a view toward developing the student's research proposal and work plan in advance of preparation for candidacy field of study examination.",,
55,2,690,"Topics Course in Architecture, Planning and Landscape Architecture",,6,3.00,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
56,2,692,"Topics Course in Architecture, Planning and Landscape Architecture",,6,1.50,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
57,2,694,"Topics Course in Architecture, Planning and Landscape Architecture",,6,1.50,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
58,2,696,"Topics Course in Architecture, Planning and Landscape Architecture",,6,3.00,"Thematic inquiry and design related to special topics in architecture, planning and landscape architecture.",,
59,3,201,Landscape Architecture and the Future of Cities,,2,3.00,"An introduction to landscape architecture as a creative and technical discipline that shapes the future of cities and natural environments. The course examines the performative role that landscapes play in climate change mitigation, habitat restoration, water management, disaster resilience, and public health, as well as urban vitality and well-being. Students will develop an understanding of the critical role that nature and outdoor space plays in city building and how landscape architecture can affect positive future change.",,
60,3,600,Landscape Architecture History and Theory,,6,3.00,"An introduction to the history, theory and contemporary issues of landscape architecture. Develop a critical awareness of major conceptual frameworks, and the socio-political contexts in which they developed, both conceptually and in realized projects.",,
61,3,602,Plants in the Landscape,,6,3.00,"Introduces students to plant taxonomy, plant identification, and planting design. Covers both natural and designed landscapes, and focuses on plant materials appropriate in the context of Calgary and region.",,
62,3,604,Landscape Architecture Studio I,,6,6.00,"An integration of skills and processes developed to this point in the program through an investigation into a topical, issue-based problem, and development of solution(s) in a landscape context.",Planning 606 or Environmental Design Planning 625.,Planning 606 or Environmental Design Planning 625.
63,3,606,Site Technology I: Grading and Landform,,6,3.00,"Provides a working knowledge of grading, landform and storm water management systems and techniques. Covers fundamentals and advanced technologies including GPS grading and landform manipulation.",,
64,3,608,"Landscape Responses to Climate Change, Energy and Water",,6,3.00,"Identifies landscape-oriented solutions to local and global issues of climate change, energy, and water problems through research and project proposals. Provides the opportunity to identify the most pressing local, regional or international issues and develop solutions.",,
65,3,610,Green Infrastructure/Winter City Design,,6,3.00,"An introduction to the systems of urban and regional resource management through targeted green infrastructure projects, particularly in a winter city context. Provides background on current methods, the state-of-the-art, and research and development that will shape future technologies. Identifies contemporary approaches, sociocultural, and ecological concepts for using plant material in landscapes, green roofs and biomass.",,
66,3,612,Site Technology II: Construction and Materials,,6,3.00,Provides a working knowledge of landscape construction methods and materials through practical application of theories and techniques via a design project.,,
67,3,614,Landscape Architecture Studio II,,6,6.00,"An integration of skills and processes developed to this point in the program through an investigation into a topical, issue-based problem, and development of solution(s) in a landscape context. Builds on skills and knowledge from previous studios and is a progression in terms of complexity and design process.",,
68,3,616,Professional Practice and Project Management for Landscape Architecture,,6,3.00,"An introduction to the professional practice of landscape architecture. Includes the legal and ethical frameworks for practice, as well as project management.",,
69,3,618,Advanced Graphics in Landscape Architecture,,6,3.00,Focuses on professional practice skill development in graphics using advanced digital rendering techniques and software used in professional practice for design project rendering and modelling.,,
70,3,620,Comprehensive Design Studio in Landscape Architecture,,6,6.00,"Focuses on the synthesis and integration of current landscape technologies, landscape construction materials, advanced graphic techniques, computer modelling, and the use of plant materials in project design and problem solving.",,
71,3,670,Experiential Learning in Landscape Architecture,,6,3.00,Thematic inquiry and design contextualized by experiential learning in landscape architecture.,,
72,3,672,Experiential Learning in Landscape Architecture,,6,1.50,Thematic inquiry and design contextualized by experiential learning in landscape architecture.,,
73,3,674,Experiential Learning in Landscape Architecture,,6,1.50,Thematic inquiry and design contextualized by experiential learning in landscape architecture.,,
74,3,676,Experiential Learning in Landscape Architecture,,6,3.00,Thematic inquiry and design contextualized by experiential learning in landscape architecture.,,
75,3,680,Special Topics in Landscape Architecture,,6,3.00,Thematic inquiry and design related to special topics in landscape architecture.,,
76,3,682,Special Topics in Landscape Architecture,,6,1.50,Thematic inquiry and design related to special topics in landscape architecture.,,
77,3,684,Special Topics in Landscape Architecture,,6,1.50,Thematic inquiry and design related to special topics in landscape architecture.,,
78,3,686,Special Topics in Landscape Architecture,,6,3.00,Thematic inquiry and design related to special topics in landscape architecture.,,
79,3,688,Special Studio Topics in Landscape Architecture,,6,6.00,Thematic inquiry and design related to special studio topics in landscape architecture.,,
80,3,700,Regional Landscape Systems Studio,,7,6.00,"An introduction to landscape planning and design at the regional scale. Particular emphasis on the interrelationships between biophysical (i.e. ecological, geological) systems and anthropogenic (i.e. social, political, economic) systems and processes as agents of landscape transformation, and determinants of form.",,
81,3,702,Senior Research Studio in Landscape Architecture,,7,6.00,"A research-oriented project studio that explores contemporary themes in landscape architecture. Centres on a real world problem or project; the analysis of issues and context, and the formulation of a comprehensive design solution involving advanced methods, techniques and practices.",,
82,3,790,Directed Study in Landscape Architecture,,7,3.00,"Thematic research, readings, or studio projects related to landscape architecture design topics.",Consent of the School.,Consent of the School.
83,3,792,Directed Study in Landscape Architecture,,7,1.50,"Thematic research, readings, or studio projects related to planning design topics.",Consent of the School.,Consent of the School.
84,3,799,Preceptorship in Landscape Architecture,,7,3.00,"A Preceptorship is a study and training arrangement made between a student and an employer or an equivalent supervisor which has specific educational objectives, a method of evaluation, and is an integral part of a student's Program of Studies. Preceptorships offer a number of benefits: acquiring skills and knowledge which may be better obtained outside the University; developing first-hand experience of professional design practice; preparing for more focused studies in the Faculty; and conducting research.",Consent of the School.,Consent of the School.
85,4,201,Planning and the Future of Cities,,2,3.00,"An introduction to city building through the lens of physical planning and urban design. The course examines the social, cultural, historical, technological, political, economic, and natural contexts in which city building occurs. Student will develop an understanding of the challenges facing the contemporary city and explore how cities can become an instrument for positive future change.",,
86,4,500,Designing Powerful Communication,,5,3.00,"Accurate and persuasive communication is becoming increasingly vital to accomplish our goals, whether they are to present research, defend a thesis, or make a compelling argument in the workplace. Participants will iteratively design professional quality oral presentations on a topic of personal interest. In addition to understanding the psychology of communication, students will learn how to determine which communication techniques are most appropriate for specific purposes.",,
87,4,600,Landscape Ecology and Planning,,6,3.00,"Key concepts in ecology, landscape ecology and environmental science relevant to planning at landscape scales. Principles of urban ecology, regional landscape ecology, watershed management and parks and protected area design are coupled with knowledge of landscape processes, ecosystem services, ecological infrastructure, and habitat to assess planning interventions in the built and natural environments. Skills are developed in geographic information systems (GIS) for monitoring the current state of landscapes and potential challenges to landscape function and for proposing solutions to these challenges. Includes guest speakers from government and industry, GIS exercises and field visits to various areas within the region.",,
88,4,602,Computer Modelling for Urban Design,,6,3.00,"Introduction to the use of computer modelling, animation and virtual reality in urban design. Professional CAD and rendering applications will be used to explore the aesthetic and technical aspects of design. Emphasis given to developing sensitivity to the application appropriate to communicating three dimensional urban and natural form using computer generated images.",,
89,4,604,Planning History and Theory,,6,3.00,"An introduction to theories and practices of planning with a focus on the late nineteenth century to the present. Explores the forces that shaped cities/regions and key ideas/models invented in response. Examines the relationship between theory/practice and past/present. Explores the influence of planners, architects, landscape architects, and others on planning theory and resulting physical form. Presents case studies and examples in the Canadian context. Develops a critical awareness of the roles of environmental design professionals within a framework that of technical, social, environmental and political factors.",,
90,4,606,Site Planning Studio,,6,6.00,"Introduction to urban design practice. Emphasizes sense of place, human behaviour/built form relationships and sustainability. Completion of a series of progressively complex site planning projects. Skills development in hand and computer-aided drawing to describe, document and analyze urban form and processes and to develop physical plans.",,
91,4,608,Geographic Information Systems for Environmental Design,,6,3.00,"Introduction to the use of GIS in urban planning and environmental management. GIS modelling focusing on population projection, location theory, land use modelling and environmental and ecological management. Case studies from both the public and private sector provide the basis of assignments. Emphasis given to developing sensitivity to the application appropriate for specific GIS problems.",,
92,4,610,Community Planning Studio,,6,6.00,"Introduction to land use planning and development issues. Provides a step-by-step introduction to community planning processes and essential planning policies to create development that is economically feasible, socially inclusive and environmentally sustainable.",Planning 606 or Environmental Design Planning 625.,Planning 606 or Environmental Design Planning 625.
93,4,612,Urban Infrastructure and Land Use,,6,3.00,"Acquaints students with the key infrastructure systems of a city. Examines current policies, standards and practices, challenges, and innovations in the following infrastructure sectors: water, sewage, waste management, open space, energy, transportation, and communication. Discusses the relationship between infrastructure systems and land use, and its impacts on quality of life, economic development, spatial structure, and the environment. Emphasis is given to green infrastructure development. Also examines various financial and institutional frameworks for delivering infrastructure systems, and how they vary across different contexts.",,
94,4,614,Real Estate Development and Finance,,6,3.00,"Focuses on the principles of real estate development and finance. Provides hands-on experience through real-world simulations and case studies to gain a basic understanding of the planning process in real estate development, including private public partnerships, and development impacts. Introduces fundamental tools for conducting an economic and fiscal analysis of real estate proposals. Students will have an opportunity to develop a pro forma as part of a risk assessment. Other topics include the use of GIS for location studies and market assessment.",,
95,4,616,Urban Design Studio,,6,6.00,"Further develop skills in conceptualization and visualization through consideration of contemporary urban design issues. It includes documentation and analysis of urban form and process, and explores site planning and design of the public realm. Issues of local and regional identity and sustainability inform the approach of the studio.","6 units from Planning 610, Environmental Design Planning 636, Landscape Architecture 604 or Environmental Design Landscape 667.","6 units from Planning 610, Environmental Design Planning 636, Landscape Architecture 604 or Environmental Design Landscape 667."
96,4,618,Regional Planning Studio,,6,6.00,"An overview of the history and theory of regional planning and an overview of regional planning institutional frameworks and issues in a Canadian regional planning context. Understanding current regional planning issues and institutional, legislative and policy frameworks in a Canadian land use planning context related to growth management, resource extraction, infrastructure and services, transportation, strategic planning, water and airshed management. A review and examination of regional land use planning and policy tools and role of regional planners in inter-jurisdictional and transboundary government and public-private stakeholder engagement mechanisms. Preparation of a plan.",Planning 610 or Environmental Design Planning 636.,Planning 610 or Environmental Design Planning 636.
97,4,620,Planning and Public Engagement,,6,1.50,"Overview of key principles and theories, and contemporary issues and tools of participation and public engagement as it applies to planning. Consideration of public engagement, facilitation, negotiation and conflict resolution processes from the point of view of community activists, city planners, developers and planning/design professionals. Development and implementation of public engagement plans.",,
98,4,622,Project Management for Planners,,6,1.50,"Principles, techniques and tools of project management. Development, administration, monitoring and evaluation of implementation plans, including financial aspects are discussed. Project risk analysis and management.",,
99,4,624,Housing and Neighbourhood Change,,6,3.00,"Considers urban growth management, affordable housing, suburban growth and inner-city redevelopment, current suburban development patterns, as well current municipal goals regarding density and intensification and precedents/best practices. Theoretical understanding and practical insights into these issues through assessment of the social, economic, and spatial aspects related to housing and neighbourhood change.",,
100,4,626,Urban Design Theory,,6,3.00,"Introduces theories, concepts, methods and contemporary issues in urban design. Consists of lectures, case studies, seminars and short projects.",,
101,4,628,Professional Planning Practice,,6,3.00,"Considers various plans, policies, regulatory processes, legal institutions and administrative frameworks involved in urban and regional planning. Examines the role of planners in municipal development processes related to land use re-designations, development permits, subdivision and appeals. Discusses professional planning issues including ethics, relationships with clients, the public, and other professions. Discusses practice options for graduates including professional certification/registration.",,
102,4,630,Advanced Professional Planning Studio,,6,6.00,"Explores contemporary themes in planning and professional planning practice. Centres on a real-world problem or client project; involves analysis, synthesis, and formulation of a planning or urban design solution. Culminates in a professional report and presentation.","Planning 616 or 618; or one of Environmental Design 618, 620, 623 or 640.","Planning 616 or 618; or one of Environmental Design 618, 620, 623 or 640."
103,4,640,Geography of Crime,,6,3.00,"Introduces the fields of environmental criminology and the social and geographic aspects of crime. Explores the reasons why certain neighborhoods, and certain features of neighborhoods, tend to promote or discourage criminal activity. Special emphasis is placed upon the relationship between crime and the environment, crime prevention, spatial dynamics of crime, the criminality of place and the decision processes involved in criminal events. Ethical considerations and privacy aspects will be addressed throughout.",Admission to the Certificate in Designing Smart and Secure Communities.,Admission to the Certificate in Designing Smart and Secure Communities.
104,4,642,Designing Safe Communities,,6,3.00,"Based on the established training curriculum for certification of the SAFE Design Council, with supplementary material to increase the theoretical foundations of the topics. The SAFE Design Standard® begins with the assessment of the risk posed to a site by outside factors, and then includes an assessment of site access points, wayfinding and signage, pathways and roadways, barriers and fencing, visibility and illumination, mechanical and electronic security, and other design elements intended for controlling access and movement within a building or site.",Planning 640 or Environmental Design 630.,Planning 640 or Environmental Design 630.
105,4,644,Designing Smart Communities,,6,3.00,"Introduces the emerging field of Smart Communities, showcasing groups and individuals that have made a conscious and deliberate effort to use information and communications technology (ICT) to transform the community’s life and work in significant and fundamental ways. Smart Communities may be physical or virtual, and the concept is more about the creative use of ICT infrastructure than merely building it. The social, economic, technical, design and ethical aspects of Smart Communities will all be considered.",Planning 640 or Environmental Design 630.,Planning 640 or Environmental Design 630.
106,4,646,Integrative Project,,6,3.00,"A capstone project course involving an independent, guided research project, which builds on student interests and faculty expertise. The projects may be completed individually or in small groups. Involves an initial face-to-face project definition session, online mentoring throughout the project, and final presentations on lessons learned and future research directions.","Planning 640, 642 and 644; or Environmental Design 630, 632 and 634.","Planning 640, 642 and 644; or Environmental Design 630, 632 and 634."
107,4,650,Theories of Sustainable Urban Design,,6,3.00,"Covers contemporary urban design history as well as seminal urban design theory. Also includes a review of the most up-to-date research in sustainable urban design, including its relationship to public health, global warming and adaptability to climate change trends.",Admission to the Certificate in Sustainable Urban Design.,Admission to the Certificate in Sustainable Urban Design.
108,4,652,Site/Context Analysis and Sustainable Design Studio,,6,6.00,"Introduces the student to an analytical and comprehensive approach for understanding a project’s site and context. Provides the student with tools and methods for the implementation of a sustainable urban design proposal in different climatic, environmental and cultural settings.",Planning 650 or Environmental Design 650.,Planning 650 or Environmental Design 650.
109,4,654,Green Infrastructure and Land Use,,6,3.00,"Acquaints the student with the latest knowledge and technology in green urban infrastructure and sustainable practices of land use planning, including aspects of winter city design. Includes various site visits to state-of-the-art infrastructure facilities and lectures from invited experts.",Planning 652 or Environmental Design 652.,Planning 652 or Environmental Design 652.
110,4,656,Advanced Urban Design Studio,,6,6.00,"Provides the opportunity for the integration of all the knowledge acquired in previous courses. Includes the development of a comprehensive sustainable urban design proposal based on site and context analysis. The project site will be situated in Calgary and will involve local community advocates, developers, planners and engineers.",Planning 654 or Environmental Design 654.,Planning 654 or Environmental Design 654.
111,4,660,Principles of Historic Conservation,,6,3.00,"Provides a foundation to historic conservation. Focuses on principles and theories pertaining to preservation and restoration practices; recognition of architectural periods, styles, and construction methods in context of the evolution of cultural landscapes; the definition of significance and integrity in buildings and districts; strategies by which buildings and their settings have been preserved and used; and methods of reading and interpreting the cultural environment. Also includes a review of the most up-to-date research in heritage conservation.",,
112,4,662,Heritage Conservation Policy and Planning,,6,3.00,"This practice-based course prepares students to act in some capacity as manager, architect, planner, and policy maker for historic sites and buildings. Provides an overview of the aspects of heritage conservation related to policy and planning. Reviews preservation policy and jurisdictional issues within a community development context, addresses complex social equity considerations associated with historic designation, examines economic incentives, and explores preservation philosophy and historic impact assessments. Includes visits to heritage sites and lectures from invited experts.",,
113,4,664,Sustainability and Historic Preservation,,6,3.00,"Examines the role of historic preservation in the context of pragmatic, social, economic and environmental imperatives of sustainable community development. Topics to be addressed include a range of historic examples of sustainable cultural practices, building envelope assessments, pathology and retrofit of heritage buildings, current trends of adaptive reuse of historic sites and case studies of effective implementation of heritage legislation in historic buildings. Although grounded in international experience and precedents, the course emphasizes relevance to western Canadian history and regional building traditions. Includes visits to heritage sites and lectures from invited experts.",,
114,4,668,Advanced Heritage Conservation Project,,6,3.00,"Provides an opportunity to work in an interdisciplinary manner to address real issues related to heritage conservation. Includes the development of a comprehensive heritage conservation proposal based on site and context analysis of a site in Alberta. The project will use the framework of the Historic Places Initiative (Identify, Protect and Preserve) to document buildings, districts and cultural landscapes and to interpret their historical and architectural significance. An Identification component will consider heritage resource documentation and evaluation; a Protection component will review heritage legislation, regulatory frameworks, and incentive programs; and a Preservation component will examine standards and guidelines, and preservation strategies and techniques.",,
